Pickup_Datetime,Total_amount
2011-03-14 9,305319.75000000023
2011-10-08 16,255368.65999999989
2011-01-20 12,276120.36000000016
2011-08-10 14,301568.98999999982
2011-08-13 10,210708.41999999975
2011-02-10 13,301966.17999999993
2011-05-17 11,314031.37000000058
2011-12-01 10,300377.95000000019
2011-12-17 6,100522.09
2011-03-26 14,281930.31999999954
2011-11-27 16,281590.98000000027
2011-05-14 11,280911.16999999969
2011-03-30 23,306480.62999999989
2011-07-29 3,101461.26999999999
2011-05-17 19,423712.91
2011-02-03 19,405229.11000000057
2011-07-13 16,267976.68999999994
2011-05-21 16,246021.80000000002
2011-03-04 13,311376.81999999995
2011-07-02 17,209303.32000000004
2011-02-08 8,312374.67999999964
2011-05-30 17,259440.83999999944
2011-02-19 11,248175.49000000008
2011-03-14 15,282405.50999999983
2011-04-23 10,235633.53000000023
2011-08-16 7,237874.52999999997
2011-07-09 13,252270.09999999989
2011-04-17 16,280158.94999999995
2011-03-23 6,142977.24000000017
2011-03-08 14,302547.49000000005
2011-01-22 12,262197.3800000003
2011-04-11 11,246926.19000000009
2011-05-14 15,305552.83999999991
2011-02-24 14,316213.86000000057
2011-04-08 15,315226.09999999934
2011-10-07 6,161549.85999999984
2011-04-10 17,300521.8600000001
2011-02-16 12,289643.43999999959
2011-02-13 19,310505.82999999967
2011-11-01 7,265698.52999999974
2011-12-05 9,311932.49999999988
2011-11-14 7,276401.37000000017
2011-07-08 7,220931.40000000008
2011-12-29 8,185116.43000000014
2011-09-17 16,265004.46000000031
2011-12-17 17,278748.74999999948
2011-07-30 14,265222.72000000003
2011-12-03 11,285025.68999999989
2011-06-15 8,337052.41999999993
2011-07-08 9,294463.73999999964
2011-06-02 11,291077.26000000024
2011-10-11 11,272319.91000000021
2011-11-08 7,267922.18000000005
2011-04-02 9,93999.229999999923
2011-03-27 9,143203.46000000005
2011-08-03 14,306706.29999999993
2011-08-26 12,279228.1599999998
2011-04-23 16,233703.00999999978
2011-04-02 16,122471.09999999999
2011-07-05 6,143312.29000000018
2011-01-31 9,280479.34000000043
2011-08-02 15,296400.83999999997
2011-08-19 15,282939.92
2011-12-28 9,204889.71999999994
2011-02-23 14,303371.32000000012
2011-04-14 15,327318.17999999964
2011-12-12 12,297594.79999999976
2011-01-15 10,181264.99000000022
2011-03-09 11,285554.67000000033
2011-07-16 20,295347.16999999987
2011-08-19 23,367722.61999999994
2011-09-30 23,412738.95999999915
2011-04-23 20,286853.85000000027
2011-12-20 23,301913.03999999963
2011-01-08 20,313454.35000000033
2011-02-13 3,261247.28
2011-01-16 21,238642.09000000026
2011-09-30 20,402487.24999999977
2011-02-07 23,214557.97000000023
2011-03-29 23,282169.5999999998
2011-08-04 20,350204.74999999988
2011-01-07 22,339605.03000000078
2011-01-28 20,367743.74000000017
2011-04-07 5,73973.17
