Pickup_Datetime,Total_amount	
2013-10-26 2,326180.11
2013-09-11 19,465912.17000000045
2013-06-25 12,353626.90000000026
2013-09-11 18,446792.83000000048
2013-03-07 16,329987.46000000054
2013-09-24 16,283959.60000000003
2013-06-07 2,152421.28999999975
2013-08-12 15,302529.38999999972
2013-12-20 16,285229.56999999942
2013-08-13 0,171824.96000000005
2013-03-28 0,265276.04999999976
2013-12-16 23,318290.81999999942
2013-01-04 1,122916.75000000007
2013-02-06 21,471707.4500000003
2013-03-27 23,379556.05000000022
2013-04-03 1,116279.38000000006
2013-10-23 17,400723.98000000021
2013-09-21 13,366908.67000000033
2013-09-15 16,350114.51999999949
2013-05-29 10,326591.38999999996
2013-12-10 8,370748.40000000014
2013-07-24 17,373075.82
2013-04-19 2,143627.18999999986
2013-11-15 2,137193.8600000001
2013-11-23 0,466491.88999999943
2013-06-25 7,295952.72999999981
2013-04-05 21,479048.08999999962
2013-08-11 21,148082.00000000006
2013-02-16 12,308621.92000000004
2013-04-25 9,391085.00000000052
2013-08-24 6,105000.09000000014
2013-04-15 8,376776.58999999997
2013-07-25 14,369177.50000000029
2013-08-26 9,312514.13000000018
2013-09-07 12,318426.26000000007
2013-02-05 12,313273.07000000007
2013-10-22 6,159874.44999999987
2013-09-25 15,357292.55000000028
2013-07-04 16,211341.20000000007
2013-12-07 10,292189.79999999976
2013-08-10 16,270330.87
2013-03-24 9,172387.65999999997
2013-02-04 2,57269.27000000007
2013-02-04 1,88218.109999999986
2013-01-26 2,277010.68999999994
2013-08-11 4,90819.239999999918
2013-06-21 2,162952.23999999996
2013-06-26 23,409481.51000000013
2013-11-27 2,91225.969999999987
2013-05-01 23,390211.64000000019
2013-01-18 17,378560.39999999991
2013-06-07 15,345811.98
2013-05-26 13,269861.46999999986
2013-09-03 18,424893.22999999986
2013-02-24 4,195022.25000000061
2013-02-04 0,187176.39000000016
2013-08-16 22,413236.2000000003
2013-02-21 0,221907.16999999995
2013-11-12 21,469268.81999999995
2013-10-03 17,389140.03000000026
2013-02-15 15,368954.42999999953
2013-12-18 8,391094.69
2013-05-30 9,388112.39999999973
2013-12-03 6,170990.03999999966
2013-04-20 18,421801.18000000011
2013-01-08 7,284812.40000000031
2013-11-06 11,345157.04999999987
2013-10-27 19,347905.35999999993
2013-07-07 17,308880.5500000004
2013-01-14 6,177088.89000000004
2013-09-12 10,368901.45999999985
2013-07-22 14,324653.16999999946
2013-02-02 2,331004.68999999994
2013-10-06 22,271859.84999999992
2013-02-03 20,251411.24000000005
2013-06-11 23,359708.38999999972
2013-12-17 23,409367.68999999954
2013-04-13 22,468677.53999999922
2013-07-05 20,238196.39999999959
2013-06-12 20,442749.55999999971
2013-05-12 4,172653.97999999989
2013-02-25 4,54628.080000000082
2013-07-13 2,289829.16999999981
2013-12-03 21,455217.01999999979
2013-10-07 11,314964.01000000024
2013-02-14 18,473967.81999999908
2013-10-20 19,363445.90000000037
2013-02-19 7,277171.44000000006
2013-03-11 12,303121.71999999927
2013-04-21 23,254631.26999999973
2013-08-01 11,171436.29000000015
2013-11-25 11,316546.90999999992
2013-04-10 3,55798.100000000028
2013-01-27 5,98859.4500000001
2013-10-18 18,465401.46999999991
2013-11-18 16,309488.71999999991
2013-07-20 9,201345.78999999978
2013-09-17 8,388534.62999999983
2013-06-25 8,368007.57000000012
2013-05-28 9,351980.53000000073
2013-02-19 1,83353.44
2013-01-02 3,34219.759999999973
2013-06-13 1,177593.58999999997
2013-12-28 3,178170.43999999992
2013-10-30 8,369548.33999999956
2013-08-26 3,56498.970000000052
2013-11-15 12,354011.33000000042
2013-09-29 13,371214.99000000005
2013-06-19 15,358349.75000000023
2013-03-31 5,96394.860000000059
2013-07-23 2,66692.790000000052
2013-05-23 2,117631.50000000001
2013-06-30 4,198312.05999999997
2013-11-01 2,299723.33999999973
2013-12-09 2,61626.980000000025
2013-04-29 1,94365.540000000081
2013-01-29 1,83860.790000000066
2013-01-18 2,118584.81000000007
2013-04-25 2,96098.720000000016
2013-10-23 4,55994.800000000105
2013-09-21 6,107761.91000000025
2013-12-15 4,146211.93999999989
2013-03-30 5,94656.960000000123
2013-04-07 7,105316.29000000012
2013-07-02 2,67586.620000000024
2013-06-29 7,123678.65000000007
