Pickup_Datetime,Total_amount
09/15/2017 06:00 PM, 346481
12/23/2017 01:00 PM, 215317
04/03/2017 02:00 PM, 262773
10/20/2017 05:00 PM, 344628
10/13/2017 12:00 PM, 268129
01/27/2017 11:00 PM, 323333
10/01/2017 03:00 PM, 288347
01/15/2017 02:00 PM, 257258
07/22/2017 02:00 AM, 174057
06/07/2017 09:00 PM, 346722
03/19/2017 09:00 PM, 218712
10/25/2017 10:00 AM, 261108
06/19/2017 07:00 AM, 209629
01/07/2017 03:00 AM, 125584
07/21/2017 04:00 PM, 262436
07/14/2017 11:00 PM, 278110
12/17/2017 08:00 AM, 98758.2
07/02/2017 02:00 PM, 189088
01/09/2017 09:00 AM, 272639
04/26/2017 11:00 PM, 274176
04/14/2017 02:00 PM, 285029
10/24/2017 12:00 PM, 242430
09/06/2017 09:00 PM, 311586
06/18/2017 09:00 PM, 240521
01/06/2017 05:00 PM, 301950
05/30/2017 06:00 AM, 136531
09/18/2017 07:00 AM, 237096
02/22/2017 09:00 AM, 251307
10/23/2017 06:00 AM, 137271
02/03/2017 07:00 AM, 232997
10/04/2017 04:00 AM, 32373.2
01/18/2017 03:00 AM, 29783.4
07/25/2017 11:00 PM, 218865
12/28/2017 08:00 AM, 143601
04/08/2017 09:00 AM, 183912
07/13/2017 02:00 PM, 309983
12/09/2017 06:00 AM, 64047
09/17/2017 09:00 PM, 230112
04/05/2017 05:00 PM, 330621
12/06/2017 02:00 PM, 329295
10/22/2017 08:00 PM, 250241
02/02/2017 09:00 PM, 353174
08/03/2017 11:00 AM, 246409
06/29/2017 09:00 PM, 321591
10/03/2017 06:00 PM, 345391
01/17/2017 05:00 PM, 317391
12/08/2017 08:00 PM, 330888
05/02/2017 07:00 AM, 251870
09/29/2017 07:00 AM, 232321
04/17/2017 03:00 AM, 26309.2
02/14/2017 07:00 AM, 236366
07/07/2017 09:00 AM, 215593
10/15/2017 04:00 AM, 98482
10/08/2017 11:00 AM, 249006
01/29/2017 03:00 AM, 185387
06/19/2017 01:00 PM, 247174
05/01/2017 09:00 PM, 289931
09/28/2017 09:00 PM, 363698
12/29/2017 11:00 PM, 210873
04/09/2017 12:00 PM, 249241
04/16/2017 05:00 PM, 246887
09/09/2017 07:00 PM, 297041
12/17/2017 02:00 PM, 302724
02/13/2017 09:00 PM, 290426
10/14/2017 06:00 PM, 299780
01/28/2017 05:00 PM, 265409
01/09/2017 03:00 PM, 260730
08/01/2017 07:00 AM, 179466
07/16/2017 03:00 AM, 140493
07/09/2017 10:00 AM, 150824
05/13/2017 07:00 AM, 99799.3
04/28/2017 03:00 AM, 79196.3
04/09/2017 01:00 AM, 269648
11/11/2017 08:00 AM, 137789
02/25/2017 07:00 AM, 91238.1
10/26/2017 04:00 AM, 39000.6
10/19/2017 11:00 AM, 267141
02/06/2017 05:00 AM, 71294.4
10/07/2017 02:00 AM, 165921
03/20/2017 11:00 PM, 193281
07/15/2017 05:00 PM, 240834
07/08/2017 12:00 PM, 187280
05/12/2017 09:00 PM, 339428
04/27/2017 05:00 PM, 324834
12/28/2017 02:00 PM, 276488
04/08/2017 03:00 PM, 282548
02/24/2017 09:00 PM, 324840
10/25/2017 06:00 PM, 367568
02/05/2017 07:00 PM, 174736
10/06/2017 04:00 PM, 292251
08/31/2017 09:00 AM, 209942
08/12/2017 07:00 AM, 79101.2
07/27/2017 03:00 AM, 38918.7
07/08/2017 01:00 AM, 208713
05/24/2017 07:00 AM, 235739
05/05/2017 05:00 AM, 81636.2
11/22/2017 08:00 AM, 248668
09/29/2017 01:00 PM, 276442
08/11/2017 09:00 PM, 234765
07/26/2017 05:00 PM, 300001
07/19/2017 12:00 PM, 275301
02/14/2017 01:00 PM, 261316
07/07/2017 03:00 PM, 230797
05/23/2017 09:00 PM, 337416
05/04/2017 07:00 PM, 369541
04/19/2017 03:00 PM, 313059
03/23/2017 12:00 AM, 174718
03/30/2017 05:00 AM, 71798.2
08/23/2017 07:00 AM, 171090
03/11/2017 03:00 AM, 139438
03/04/2017 10:00 AM, 223246
08/04/2017 05:00 AM, 69340.6
07/19/2017 01:00 AM, 78901.2
06/01/2017 09:00 AM, 259306
05/09/2017 12:00 AM, 112799
02/08/2017 08:00 AM, 267344
05/13/2017 01:00 PM, 309339
10/09/2017 05:00 AM, 62300.1
08/22/2017 09:00 PM, 258609
11/23/2017 11:00 PM, 106560
11/30/2017 04:00 PM, 298540
