Pickup_Datetime,Total_amount
03/15/2018 06:00 PM, 776158
03/15/2018 07:00 PM, 757318
03/01/2018 09:00 PM, 747973
03/08/2018 06:00 PM, 747971
03/16/2018 06:00 PM, 742118
03/14/2018 06:00 PM, 741867
03/09/2018 07:00 PM, 734640
03/08/2018 07:00 PM, 726266
03/09/2018 06:00 PM, 723571
03/15/2018 09:00 PM, 717025
03/29/2018 06:00 PM, 716840
03/01/2018 08:00 PM, 714673
03/14/2018 09:00 PM, 714407
03/06/2018 06:00 PM, 711058
03/16/2018 07:00 PM, 709441
03/15/2018 05:00 PM, 707993
03/01/2018 06:00 PM, 701544
03/29/2018 07:00 PM, 698291
03/15/2018 08:00 PM, 696677
03/23/2018 06:00 PM, 696464
03/15/2018 10:00 PM, 695900
03/14/2018 07:00 PM, 695767
03/23/2018 07:00 PM, 692515
03/22/2018 06:00 PM, 691777
03/27/2018 06:00 PM, 686135
03/08/2018 09:00 PM, 678265
03/14/2018 05:00 PM, 678167
03/28/2018 06:00 PM, 677270
03/06/2018 07:00 PM, 673027
03/20/2018 06:00 PM, 671354
03/01/2018 07:00 PM, 670023
03/27/2018 09:00 PM, 668481
03/23/2018 10:00 PM, 666779
03/22/2018 07:00 PM, 665463
03/06/2018 09:00 PM, 663847
03/28/2018 09:00 PM, 663668
03/29/2018 05:00 PM, 662041
03/16/2018 10:00 PM, 661020
03/09/2018 02:00 PM, 658976
03/08/2018 08:00 PM, 658898
03/29/2018 09:00 PM, 658794
03/08/2018 05:00 PM, 657635
03/14/2018 08:00 PM, 655978
03/23/2018 11:00 PM, 655754
03/22/2018 09:00 PM, 653649
03/06/2018 08:00 PM, 651763
03/08/2018 10:00 PM, 651128
03/16/2018 09:00 PM, 648331
03/16/2018 08:00 PM, 647637
03/16/2018 11:00 PM, 647156
03/09/2018 10:00 PM, 646873
03/05/2018 06:00 PM, 646042
03/15/2018 04:00 PM, 645761
03/01/2018 10:00 PM, 645431
03/16/2018 05:00 PM, 643658
03/06/2018 05:00 PM, 642931
03/30/2018 05:00 PM, 642008
03/23/2018 05:00 PM, 641676
03/09/2018 11:00 PM, 640611
03/02/2018 06:00 PM, 639727
03/09/2018 05:00 PM, 639268
03/28/2018 07:00 PM, 639164
03/22/2018 10:00 PM, 638252
03/10/2018 06:00 PM, 638249
03/01/2018 05:00 PM, 637070
03/20/2018 09:00 PM, 635566
03/28/2018 05:00 PM, 634801
