date_hour,total
2014-03-21 5,111607.12000000018
2014-06-29 2,307448.61000000034
2014-08-13 23,374482.93999999959
2014-03-14 10,351962.63999999961
2014-06-20 17,358825.34999999992
2014-02-18 6,172235.19999999998
2014-02-06 17,344361.34999999928
2014-07-26 17,303610.16999999958
2014-03-08 21,429532.77
2014-09-07 0,414957.21000000072
2014-10-31 21,481000.69000000035
2014-08-14 17,350771.86000000028
2014-01-28 0,155902.32999999996
2014-12-23 13,320054.19000000024
2014-07-30 9,344169.54000000033
2014-03-01 16,315447.0499999997
2014-11-01 3,351842.51999999973
2014-01-02 8,266509.43999999989
2014-12-21 1,367706.4099999998
2014-03-29 19,440507.10000000027
2014-06-20 15,349659.60000000062
2014-10-11 7,154037.29000000012
2014-05-19 15,366255.64999999979
2014-07-21 14,314656.47999999963
2014-12-16 23,370421.2
2014-03-02 0,474582.01999999967
2014-06-29 5,103920.99000000005
2014-05-20 23,386511.18000000011
2014-12-29 1,83398.840000000127
2014-04-14 20,343425.35999999981
2014-11-27 23,189364.15999999974
2014-12-21 5,103969.38999999997
2014-07-24 22,468507.78000000026
2014-03-07 17,394435.73999999993
2014-09-11 6,188367.81999999983
2014-11-26 17,329568.6400000006
2014-08-03 3,248257.17999999973
2014-09-09 22,413530.99
2014-08-16 20,315636.1199999997
2014-11-22 1,381309.64999999997
2014-08-26 19,367888.79999999935
2014-12-26 6,70470.730000000127
2014-08-30 6,103268.41999999998
2014-12-30 6,111854.35000000008
2014-02-01 9,194253.76000000007
2014-08-21 3,67734.620000000054
2014-09-28 20,323698.33000000025
2014-03-15 22,469466.93000000017
2014-12-15 3,42579.970000000038
2014-12-26 3,32741.590000000029
2014-06-25 12,362864.12000000005
2014-10-23 15,354563.86000000045
2014-08-30 22,291272.60999999993
2014-02-04 0,142581.40000000005
2014-07-06 9,130182.2399999999
2014-07-04 9,133967.90000000008
2014-07-28 3,45175.710000000057
2014-08-22 5,87981.6600000001
2014-11-28 2,68387.979999999938
2014-12-17 16,277824.08999999991
2014-07-22 2,62637.330000000075
2014-03-25 4,47563.300000000083
2014-12-31 1,155801.18000000008
2014-10-27 3,35264.180000000029
2014-10-02 4,56961.31000000015
2014-03-31 2,59563.680000000044
2014-03-10 1,98145.100000000049
2014-07-20 7,99993.9
2014-12-29 4,50796.470000000118
2014-10-16 3,54056.760000000046
2014-01-14 3,40161.44
2014-02-14 2,75404.320000000036
2014-11-10 3,36858.610000000037
2014-06-11 3,55119.479999999989
2014-08-19 4,50724.400000000096
2014-04-14 13,311179.81000000006
2014-03-30 13,404697.35000000015
2014-02-09 8,124426.18999999986
2014-05-08 8,399393.73000000033
2014-11-03 13,315744.85000000021
2014-10-17 8,365737.69000000029
2014-03-26 4,52241.700000000084
2014-03-22 1,395682.72999999934
2014-01-08 21,412943.04999999958
2014-07-03 2,115355.93000000011
2014-06-18 19,448966.08999999997
2014-05-12 15,363755.38000000006
2014-07-31 16,294505.72999999969
2014-05-26 4,93601.700000000084
2014-11-28 10,175466.4300000002
2014-03-11 13,327661.67999999924
2014-04-12 21,427279.93000000011
2014-07-28 22,328579.93999999977
2014-08-16 3,217247.7300000001
2014-12-17 21,467918.1900000007
2014-11-18 17,370078.16000000091
2014-08-23 10,210949.92999999973
2014-11-20 17,368703.36999999976
2014-09-15 18,430069.51999999967
2014-08-04 19,377373.50999999983
2014-05-07 19,482651.85000000033
2014-07-23 20,409275.3199999996
2014-08-02 6,107618.36000000003
2014-08-05 17,346160.59000000014
2014-12-06 19,429511.93999999919
2014-06-29 8,140855.10999999987
2014-07-31 12,338927.23999999958
2014-09-08 12,337708.86999999988
2014-05-03 7,149898.83999999991
2014-01-06 10,287217.49999999977
2014-09-06 6,102583.0600000002
2014-08-22 15,319885.54000000015
2014-11-22 15,368452.7600000003
2014-09-14 12,354585.04000000044
2014-06-16 8,338851.66999999963
2014-09-20 9,227981.91999999966
2014-05-19 6,204727.16000000012
2014-10-23 12,397831.90000000072
2014-08-13 8,337738.19999999937
2014-07-30 3,55542.080000000045
2014-09-08 3,48141.309999999969
2014-03-21 20,476615.34999999969
2014-02-08 23,485887.6299999996
2014-07-23 21,440381.79999999987
2014-07-04 2,175352.4200000001
2014-03-21 22,491799.41000000015
2014-09-19 22,486447.17000000033
2014-07-22 19,434096.85000000056
2014-01-23 15,344834.09999999992
2014-03-21 19,497393.99999999983
2014-06-14 0,451740.11999999889
2014-01-29 1,105189.24999999988
2014-01-27 21,370941.29000000015
2014-10-05 2,303113.74
2014-04-09 11,321012.08000000019
2014-03-08 4,171729.66999999963
2014-10-18 21,398097.80000000045
2014-03-26 7,296674.74999999942
2014-06-25 13,371570.64999999991
2014-09-03 6,177323.96999999948
2014-09-15 13,310111.79999999987
2014-03-16 14,379648.32999999984
2014-02-24 7,307540.74000000005
2014-11-23 15,342099.31
2014-05-12 7,307507.96999999922
2014-11-29 12,278850.72
2014-12-23 6,156535.1
2014-11-10 14,346643.5400000001
2014-10-26 18,369200.16999999917
2014-11-30 15,353946.74999999983
2014-12-17 9,347451.1700000001
2014-05-09 10,356270.0499999997
2014-10-04 17,300374.80000000034
2014-06-23 12,299887.80999999994
2014-09-04 11,344840.48999999953
2014-01-19 13,317679.54000000039
2014-07-23 7,276272.95
2014-03-16 18,373417.55
2014-02-06 6,192817.34999999966
2014-11-15 4,155025.93999999983
2014-12-21 20,271499.2100000002
2014-12-25 21,167842.35000000006
2014-01-17 20,433603.70000000013
2014-11-19 20,448831.96000000025
2014-11-27 22,223500.13999999969
2014-09-24 2,77317.130000000034
2014-08-08 21,370569.79000000004
2014-07-22 5,83920.480000000156
2014-06-30 1,125026.42999999993
2014-06-26 21,486042.5399999998
2014-11-20 11,345834.46
2014-11-05 19,459208.12999999907
2014-04-21 16,321663.59000000008
2014-04-07 15,356427.00000000017
2014-03-07 18,479871.7000000003
2014-04-10 18,474939.86000000039
2014-01-22 18,417238.18000000046
2014-08-21 19,445692.3499999998
2014-02-17 7,129956.08
2014-12-15 19,405490.69000000058
2014-09-12 15,360351.87999999983
2014-12-11 22,505492.23999999982
2014-12-20 1,393894.49000000051
2014-02-10 0,163235.79000000004
2014-02-02 2,372868.75999999989
2014-09-12 20,462813.4700000002
2014-08-11 2,55057.590000000033
2014-06-22 21,352721.54999999987
2014-09-25 12,317911.97999999957
2014-07-11 18,421548.5300000002
2014-03-28 12,361666.14000000042
2014-12-19 12,355960.52999999985
2014-05-13 7,318353.38999999978
2014-05-05 14,373202.80000000045
2014-10-22 10,329143.24999999988
2014-11-05 12,348298.50000000006
2014-11-16 23,230079.83999999979
2014-10-03 18,442901.70999999979
2014-02-13 16,201012.05999999991
2014-04-06 23,255748.58999999997
2014-04-28 18,439246.22000000026
2014-09-20 14,359413.18000000005
2014-12-16 2,77565.03
2014-10-25 2,305735.33999999985
2014-10-12 1,382210.1500000009
2014-07-12 12,277696.90999999992
2014-02-22 12,323815.39000000013
2014-06-15 7,109983.68000000023
2014-06-12 9,379747.52999999956
2014-08-15 14,351764.99999999983
2014-12-03 9,359494.67999999976
2014-06-15 9,182636.74999999988
2014-04-06 18,385534.91999999969
2014-06-02 10,303753.07999999984
2014-02-24 9,339760.6399999999
2014-10-27 7,301515.83999999979
2014-09-13 10,272932.34999999986
2014-07-15 14,388696.7300000001
2014-02-22 19,433777.71999999974
2014-12-28 15,292445.27999999968
2014-06-19 15,352906.80000000063
2014-01-25 8,162477.74999999988
2014-02-17 9,216555.6399999999
2014-12-05 8,371010.75000000076
2014-12-30 0,172160.71999999991
2014-05-13 5,87283.800000000178
2014-03-17 5,100751.73000000005
2014-07-08 21,386078.84000000026
2014-02-05 2,64744.979999999974
2014-11-26 4,105249.28000000006
2014-11-26 20,284032.05999999982
2014-07-29 0,184137.81000000014
2014-02-24 4,56811.780000000028
2014-04-17 0,262789.55
2014-04-03 21,497831.23
2014-12-28 4,131322.57000000012
2014-03-05 6,183220.79000000015
2014-04-06 3,301197.51000000013
2014-07-02 8,341704.80999999982
2014-12-18 17,366057.39999999973
2014-12-05 10,339975.07000000007
2014-03-31 16,304295.52000000025
2014-09-30 17,363325.58000000031
2014-01-20 14,346189.07000000036
2014-03-22 15,345158.97999999986
2014-05-19 5,116142.84000000013
2014-06-04 21,472977.1900000007
2014-09-05 0,319393.55999999994
2014-12-15 0,155620.74000000005
2014-05-27 16,308402.31000000011
2014-10-08 21,460469.3999999995
2014-01-23 17,341973.93
2014-05-19 11,337327.50999999978
2014-05-11 7,117027.83000000009
2014-01-29 6,167688.74999999988
2014-07-10 13,330558.08000000007
2014-01-26 15,368594.38000000012
2014-08-01 11,304930.17999999959
2014-06-03 14,386295.75999999989
2014-08-22 14,330754.45999999996
2014-07-15 13,328232.18999999994
