Pickup_Datetime,Total_amount
06/30/2016 09:00 AM, 1.55059e+06
09/07/2016 04:00 PM, 945036
03/10/2016 10:00 PM, 847462
09/23/2016 01:00 AM, 781627
10/14/2016 05:00 PM, 723577
08/04/2016 08:00 AM, 697182
08/20/2016 08:00 PM, 646832
07/31/2016 04:00 AM, 635210
07/10/2016 10:00 AM, 615756
11/10/2016 10:00 PM, 611340
07/17/2016 10:00 AM, 598256
06/10/2016 11:00 PM, 586007
09/12/2016 11:00 AM, 582154
09/17/2016 10:00 AM, 559823
11/06/2016 03:00 PM, 559498
09/08/2016 08:00 PM, 559444
07/31/2016 11:00 AM, 557019
02/12/2016 07:00 PM, 549829
02/16/2016 06:00 PM, 524898
11/06/2016 01:00 AM, 514726
09/24/2016 10:00 AM, 506215
10/18/2016 03:00 PM, 501021
02/23/2016 02:00 PM, 490029
05/05/2016 09:00 PM, 473034
05/05/2016 10:00 PM, 472768
03/17/2016 10:00 PM, 466245
09/28/2016 12:00 PM, 463614
01/01/2016 01:00 AM, 462071
06/02/2016 03:00 PM, 461558
03/17/2016 09:00 PM, 460849
04/29/2016 07:00 PM, 460627
04/15/2016 10:00 PM, 459351
05/19/2016 09:00 PM, 459315
04/15/2016 07:00 PM, 458809
05/12/2016 09:00 PM, 456220
02/12/2016 06:00 PM, 454427
03/16/2016 06:00 PM, 450307
04/14/2016 10:00 PM, 449160
05/17/2016 09:00 PM, 449004
05/19/2016 10:00 PM, 446670
02/11/2016 09:00 PM, 446533
04/14/2016 09:00 PM, 446411
05/05/2016 07:00 PM, 446138
02/11/2016 07:00 PM, 445125
05/05/2016 06:00 PM, 444572
05/06/2016 07:00 PM, 444141
04/07/2016 10:00 PM, 444026
04/21/2016 10:00 PM, 443724
12/15/2016 09:00 PM, 443718
04/15/2016 11:00 PM, 443132
04/08/2016 07:00 PM, 443036
03/03/2016 07:00 PM, 442604
03/04/2016 07:00 PM, 441956
05/19/2016 08:00 PM, 441087
04/14/2016 08:00 PM, 440758
12/08/2016 09:00 PM, 440714
03/03/2016 06:00 PM, 440552
04/02/2016 11:00 PM, 440225
08/09/2016 05:00 PM, 439296
02/25/2016 09:00 PM, 439026
05/17/2016 08:00 PM, 438862
03/11/2016 07:00 PM, 438799
02/26/2016 11:00 PM, 438512
03/04/2016 11:00 PM, 438463
04/01/2016 11:00 PM, 438180
04/29/2016 10:00 PM, 437909
06/09/2016 09:00 PM, 437815
04/07/2016 09:00 PM, 437702
02/25/2016 10:00 PM, 437392
04/15/2016 06:00 PM, 437336
05/12/2016 07:00 PM, 437268
05/12/2016 10:00 PM, 437193
04/16/2016 11:00 PM, 437127
02/26/2016 07:00 PM, 437047
06/09/2016 10:00 PM, 436940
05/05/2016 08:00 PM, 436842
03/17/2016 08:00 PM, 436831
04/29/2016 06:00 PM, 436761
03/18/2016 07:00 PM, 436661
04/01/2016 06:00 PM, 436357
05/06/2016 06:00 PM, 436071
04/28/2016 06:00 PM, 435933
05/18/2016 09:00 PM, 435753
02/19/2016 07:00 PM, 435572
04/08/2016 11:00 PM, 435419
03/02/2016 09:00 PM, 435367
03/03/2016 09:00 PM, 435184
05/20/2016 07:00 PM, 435157
05/12/2016 06:00 PM, 434838
03/11/2016 11:00 PM, 434825
12/08/2016 10:00 PM, 434496
05/05/2016 11:00 PM, 434173
02/18/2016 10:00 PM, 432334
06/02/2016 09:00 PM, 432332
05/03/2016 06:00 PM, 432323
05/17/2016 07:00 PM, 432019
02/11/2016 06:00 PM, 431954
03/31/2016 09:00 PM, 431894
02/11/2016 08:00 PM, 431876
06/08/2016 09:00 PM, 431875
04/14/2016 06:00 PM, 431873
03/11/2016 10:00 PM, 431863
05/19/2016 07:00 PM, 431839
06/16/2016 10:00 PM, 431504
04/08/2016 10:00 PM, 431459
05/14/2016 11:00 PM, 431352
05/12/2016 08:00 PM, 431218
02/11/2016 10:00 PM, 431170
02/26/2016 06:00 PM, 431061
03/19/2016 11:00 PM, 430844
12/15/2016 10:00 PM, 430818
03/16/2016 09:00 PM, 430668
03/10/2016 09:00 PM, 429875
03/11/2016 06:00 PM, 429849
03/18/2016 11:00 PM, 429596
02/18/2016 09:00 PM, 429299
02/04/2016 09:00 PM, 429299
01/21/2016 07:00 PM, 428724
06/02/2016 10:00 PM, 428684
02/26/2016 10:00 PM, 428588
03/31/2016 10:00 PM, 428534
04/07/2016 07:00 PM, 428408
04/05/2016 06:00 PM, 427695
03/17/2016 07:00 PM, 427637
04/08/2016 06:00 PM, 427568
01/01/2016 02:00 AM, 427566
02/05/2016 07:00 PM, 427482
03/24/2016 10:00 PM, 427310
12/02/2016 07:00 PM, 426959
10/02/2016 07:00 PM, 426890
03/02/2016 07:00 PM, 426512
03/03/2016 10:00 PM, 426462
03/03/2016 08:00 PM, 426410
03/17/2016 11:00 PM, 426105
05/17/2016 10:00 PM, 426099
05/20/2016 11:00 PM, 425817
04/21/2016 09:00 PM, 425346
05/19/2016 06:00 PM, 425039
04/14/2016 07:00 PM, 424974
01/29/2016 07:00 PM, 424783
03/04/2016 06:00 PM, 424402
12/15/2016 11:00 PM, 424226
01/29/2016 10:00 PM, 423945
01/21/2016 09:00 PM, 423897
02/25/2016 06:00 PM, 423459
03/10/2016 06:00 PM, 423380
06/16/2016 09:00 PM, 423343
05/04/2016 06:00 PM, 423343
01/28/2016 09:00 PM, 422829
02/18/2016 07:00 PM, 422822
04/28/2016 09:00 PM, 422613
05/20/2016 10:00 PM, 422272
02/25/2016 08:00 PM, 422189
03/18/2016 06:00 PM, 422091
04/07/2016 06:00 PM, 422000
03/10/2016 07:00 PM, 421907
12/16/2016 10:00 PM, 421897
04/13/2016 09:00 PM, 421871
01/29/2016 11:00 PM, 421744
04/11/2016 06:00 PM, 421715
04/28/2016 10:00 PM, 421671
03/02/2016 08:00 PM, 421603
05/04/2016 09:00 PM, 421224
03/24/2016 09:00 PM, 420851
04/01/2016 07:00 PM, 420673
05/25/2016 09:00 PM, 419887
04/15/2016 08:00 PM, 419328
01/22/2016 07:00 PM, 419275
02/19/2016 06:00 PM, 419058
04/20/2016 09:00 PM, 418908
02/25/2016 07:00 PM, 418792
12/09/2016 11:00 PM, 418753
04/07/2016 08:00 PM, 418714
05/18/2016 10:00 PM, 418632
05/04/2016 07:00 PM, 418596
03/24/2016 07:00 PM, 418245
03/02/2016 06:00 PM, 418152
11/03/2016 09:00 PM, 418054
03/12/2016 11:00 PM, 417961
02/19/2016 11:00 PM, 417864
06/15/2016 09:00 PM, 417739
04/06/2016 06:00 PM, 417483
01/28/2016 10:00 PM, 417275
11/17/2016 09:00 PM, 416801
02/18/2016 08:00 PM, 416791
02/27/2016 11:00 PM, 416670
04/05/2016 07:00 PM, 416620
03/10/2016 08:00 PM, 415898
03/24/2016 06:00 PM, 415788
10/28/2016 07:00 PM, 415771
12/14/2016 09:00 PM, 415441
03/14/2016 06:00 PM, 415435
05/20/2016 06:00 PM, 415365
05/14/2016 06:00 PM, 415182
12/09/2016 07:00 PM, 415123
06/15/2016 10:00 PM, 414982
04/20/2016 06:00 PM, 414975
06/03/2016 11:00 PM, 414826
04/20/2016 07:00 PM, 414752
04/05/2016 09:00 PM, 414650
06/23/2016 06:00 PM, 414455
04/21/2016 08:00 PM, 414448
04/09/2016 11:00 PM, 414431
02/10/2016 07:00 PM, 414272
04/30/2016 11:00 PM, 414239
05/18/2016 06:00 PM, 414086
01/29/2016 06:00 PM, 414063
06/16/2016 06:00 PM, 414045
01/30/2016 02:00 PM, 414027
04/28/2016 07:00 PM, 413950
05/21/2016 07:00 PM, 413921
03/18/2016 10:00 PM, 413909
06/04/2016 07:00 PM, 413880
04/19/2016 06:00 PM, 413765
05/17/2016 06:00 PM, 413638
12/16/2016 07:00 PM, 413579
01/21/2016 08:00 PM, 413207
04/01/2016 10:00 PM, 413126
04/16/2016 07:00 PM, 413004
01/15/2016 06:00 PM, 412842
04/20/2016 08:00 PM, 412661
06/02/2016 07:00 PM, 412645
12/09/2016 10:00 PM, 412196
06/23/2016 09:00 PM, 412195
04/06/2016 08:00 PM, 412103
06/09/2016 07:00 PM, 411972
11/03/2016 06:00 PM, 411726
02/04/2016 08:00 PM, 411429
03/01/2016 06:00 PM, 411405
12/14/2016 10:00 PM, 411178
02/05/2016 06:00 PM, 410777
03/20/2016 11:00 AM, 410631
04/16/2016 10:00 PM, 410626
01/21/2016 10:00 PM, 410620
02/13/2016 07:00 PM, 410399
04/08/2016 08:00 PM, 410229
02/12/2016 09:00 PM, 409877
04/20/2016 10:00 PM, 409668
06/09/2016 11:00 PM, 409346
05/15/2016 02:00 PM, 409286
05/04/2016 10:00 PM, 409132
05/25/2016 10:00 PM, 409022
04/13/2016 06:00 PM, 408927
04/15/2016 09:00 PM, 408732
10/06/2016 07:00 PM, 408690
02/04/2016 10:00 PM, 408682
05/13/2016 11:00 PM, 408672
12/08/2016 08:00 PM, 408602
02/18/2016 06:00 PM, 408473
01/22/2016 06:00 PM, 408385
03/23/2016 09:00 PM, 408203
11/04/2016 06:00 PM, 408199
06/06/2016 06:00 PM, 408191
03/31/2016 06:00 PM, 408009
06/07/2016 06:00 PM, 407900
04/12/2016 06:00 PM, 407638
11/10/2016 09:00 PM, 407547
04/13/2016 08:00 PM, 407435
05/03/2016 09:00 PM, 407347
02/06/2016 11:00 PM, 407300
04/05/2016 08:00 PM, 407297
12/15/2016 08:00 PM, 407025
12/16/2016 11:00 PM, 406979
05/11/2016 10:00 PM, 406859
06/15/2016 06:00 PM, 406772
05/26/2016 06:00 PM, 406674
12/15/2016 06:00 PM, 406673
12/16/2016 06:00 PM, 406573
07/14/2016 09:00 PM, 406537
02/04/2016 07:00 PM, 406369
05/18/2016 08:00 PM, 406327
02/12/2016 11:00 PM, 406167
10/19/2016 08:00 PM, 406161
03/24/2016 08:00 PM, 406079
02/12/2016 08:00 PM, 405976
01/21/2016 06:00 PM, 405965
04/29/2016 11:00 PM, 405859
03/09/2016 10:00 PM, 405841
10/13/2016 09:00 PM, 405697
03/05/2016 11:00 PM, 405409
04/13/2016 10:00 PM, 405331
