Pickup_Datetime,Total_amount
2012-09-17 22,303282.85999999981
2012-10-04 22,498920.2599999996
2012-09-16 4,206868.91999999984
2012-12-03 17,372550.00000000047
2012-09-07 21,476724.94999999955
2012-10-22 17,376228.11999999959
2012-10-16 18,463727.72999999922
2012-10-05 23,496105.87000000029
2012-12-13 3,74418.950000000172
2012-10-09 19,462547.77999999985
2012-09-16 13,332732.34999999963
2012-12-28 10,263518.33000000007
2012-01-14 17,294958.9
2012-01-19 15,315474.74999999983
2012-05-07 8,329931.35999999981
2012-01-05 10,253537.51999999981
2012-04-12 12,318095.06000000041
2012-07-01 16,242321.70999999993
2012-07-14 10,195103.23000000016
2012-05-24 8,342352.01000000059
2012-06-28 7,267454.13000000012
2012-09-13 7,345971.91000000038
2012-02-11 19,399954.2599999996
2012-10-10 9,391492.97000000009
2012-02-10 6,158454.54000000024
2012-03-31 18,365389.85000000044
2012-03-04 19,297682.91000000038
2012-08-14 15,277357.1700000001
2012-11-17 15,356898.12000000046
2012-04-09 10,261839.18000000002
2012-01-10 8,326632.53999999957
2012-06-07 8,353222.87
2012-04-23 6,173858.92000000004
2012-02-07 14,282963.94
2012-09-24 14,338630.77999999985
2012-04-23 9,321490.79000000015
2012-07-13 12,293368.20999999973
2012-04-30 9,313287.23999999987
2012-02-16 12,340524.44000000029
2012-07-14 15,243829.56999999998
2012-07-31 12,280114.31999999995
2012-08-09 12,296828.9599999999
2012-02-09 11,275324.92
2012-05-11 10,303772.53999999986
2012-01-11 7,255600.86000000007
2012-12-15 14,389804.36999999994
2012-01-09 14,261037.65000000037
2012-08-27 14,245795.22999999984
2012-07-28 15,245846.51000000007
2012-01-27 15,285759.9499999996
2012-08-27 8,287262.84000000026
2012-05-26 18,268374.68999999983
2012-04-17 13,301498.01000000065
2012-01-16 18,307127.65999999951
2012-03-20 13,259914.96
2012-06-28 15,306725.72
2012-05-29 15,300089.69
2012-08-23 7,232408.44000000041
2012-01-30 11,242668.18999999989
2012-01-27 6,146047.40000000005
2012-03-15 15,330721.66999999993
2012-09-11 9,367527.92999999976
2012-05-15 23,324471.95000000019
2012-02-16 0,203365.20000000007
2012-07-05 21,278227.68999999994
2012-05-12 2,291799.09
2012-04-12 1,129896.25000000012
2012-04-12 22,423253.88
2012-02-26 0,408117.44999999949
2012-04-14 0,402814.23999999982
2012-06-06 2,72965.919999999925
2012-02-16 22,416073.51999999967
2012-06-05 22,377797.54000000091
2012-01-30 21,321750.49999999953
2012-01-23 19,347670.99999999948
2012-02-11 22,411996.23000000062
2012-05-25 22,324401.75
2012-04-12 2,79743.459999999977
2012-05-21 0,170841.90999999997
2012-03-09 3,93127.889999999912
2012-02-01 20,374763.66000000021
2012-01-23 20,321710.96000000014
2012-01-12 1,121601.07000000009
2012-03-30 21,413981.65000000072
2012-10-07 21,334175.00000000017
2012-09-20 1,169182.18000000005
2012-04-19 23,386310.81000000017
2012-06-16 20,301717.68999999983
2012-04-27 23,423128.94999999943
2012-01-05 18,383033.96000000037
2012-06-28 14,340798.58000000025
2012-07-23 19,361367.06999999942
2012-02-29 7,279535.32999999996
2012-01-20 14,336078.14000000031
2012-05-11 18,416471.71000000089
2012-07-06 19,333395.82999999978
2012-07-11 17,319982.82999999996
2012-03-02 16,284412.33999999973
2012-05-08 18,412486.52000000025
2012-08-01 19,367431.32000000065
2012-08-17 19,389472.63
2012-06-25 16,288169.62000000017
2012-07-04 17,231786.22000000012
2012-12-18 17,361894.63999999966
2012-03-05 18,404365.25999999989
2012-10-20 12,350733.63999999955
2012-01-29 11,237146.34999999957
2012-08-03 12,297462.58999999944
2012-08-19 0,344372.77
2012-04-23 23,250819.98999999979
2012-04-25 12,317248.7699999999
2012-04-01 1,371745.66999999993
2012-04-10 4,41255.779999999904
2012-03-15 21,440809.65000000008
2012-04-24 2,64487.640000000007
2012-08-10 2,164469.33
2012-09-22 17,351143.12000000023
2012-02-28 8,338649.65999999968
2012-06-18 18,379041.63000000041
2012-03-28 20,386773.90000000014
2012-04-13 14,328983.52999999974
2012-01-02 2,77145.839999999938
2012-01-12 21,390248.29000000021
2012-04-09 16,273418.49000000011
2012-03-17 8,136497.42000000022
2012-06-19 13,306967.37999999919
2012-08-21 10,252784.15999999968
2012-03-30 0,299172.6500000002
2012-09-16 6,92055.340000000084
2012-10-27 2,335860.78999999986
2012-10-16 14,387247.1599999998
2012-12-18 16,285103.36000000063
2012-09-24 19,421867.35999999929
2012-10-24 21,480342.00000000035
2012-09-04 5,109126.83000000019
2012-11-29 15,374683.62999999971
2012-12-18 2,86951.070000000051
2012-09-14 18,468814.65999999974
2012-12-25 16,177420.67999999976
2012-10-30 21,160916.73
2012-09-20 6,185322.7000000001
2012-02-05 16,294971.25999999995
2012-05-14 15,310071.71000000008
2012-07-28 9,161987.55999999965
2012-01-03 11,219087.91000000035
2012-03-13 6,142223.69000000009
2012-04-26 9,346961.79999999976
2012-12-20 6,195411.60999999984
2012-05-02 13,346683.72000000032
2012-05-04 11,319482.53999999969
2012-09-02 1,267660.02000000008
2012-01-13 3,69403.890000000043
